ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300731.SZ,20251118,47.5,49.5,46.45,48.11,47.9,0.21,0.4384,142097.0,682578.023
300731.SZ,20251117,43.97,48.5,43.97,47.9,44.19,3.71,8.3956,175504.77,828171.728
300731.SZ,20251114,42.63,44.97,41.23,44.19,44.2,-0.01,-0.0226,117073.6,509994.349
300731.SZ,20251113,41.76,45.0,41.25,44.2,41.72,2.48,5.9444,102726.59,447715.603
300731.SZ,20251112,42.24,43.18,40.65,41.72,42.57,-0.85,-1.9967,59163.0,246527.033
300731.SZ,20251111,43.8,44.4,42.48,42.57,44.0,-1.43,-3.25,62765.0,271151.96
300731.SZ,20251110,44.48,47.0,43.8,44.0,44.22,-0.22,-0.4975,87004.0,391561.654
300731.SZ,20251107,44.49,45.99,43.21,44.22,45.02,-0.8,-1.777,109040.2,485908.157
300731.SZ,20251106,44.3,46.51,43.71,45.02,44.7,0.32,0.7159,118481.89,534636.895
300731.SZ,20251105,42.01,45.76,41.81,44.7,41.08,3.62,8.8121,208176.29,922660.301
300731.SZ,20251104,42.9,43.08,40.57,41.08,43.24,-2.16,-4.9954,70007.44,289368.513
300731.SZ,20251103,42.9,43.49,42.22,43.24,42.73,0.51,1.1935,54738.05,235064.742
300731.SZ,20251031,43.2,43.91,42.66,42.73,43.3,-0.57,-1.3164,55633.0,239845.435
300731.SZ,20251030,45.6,45.7,43.21,43.3,45.6,-2.3,-5.0439,83504.8,368394.044
300731.SZ,20251029,44.6,46.08,43.0,45.6,44.23,1.37,3.0974,134504.15,602015.904
300731.SZ,20251028,46.01,46.4,44.0,44.23,46.43,-2.2,-4.7383,130786.05,584007.131
300731.SZ,20251027,44.01,46.93,44.01,46.43,42.68,3.75,8.7863,180449.28,830813.878
300731.SZ,20251024,42.2,43.38,41.7,42.68,41.77,0.91,2.1786,74472.48,315711.552
300731.SZ,20251023,43.43,43.79,41.01,41.77,43.7,-1.93,-4.4165,61180.08,254754.014
300731.SZ,20251022,42.51,44.68,42.12,43.7,42.87,0.83,1.9361,80628.14,351940.26
300731.SZ,20251021,41.73,43.26,41.41,42.87,41.73,1.14,2.7318,55451.42,235822.225
300731.SZ,20251020,40.9,42.25,40.76,41.73,40.32,1.41,3.497,58587.42,242954.884
300731.SZ,20251017,42.7,42.7,40.2,40.32,42.65,-2.33,-5.4631,62638.42,257644.113
300731.SZ,20251016,41.8,43.2,41.4,42.65,42.22,0.43,1.0185,73215.0,309930.674
300731.SZ,20251015,41.1,42.55,40.63,42.22,41.01,1.21,2.9505,67195.0,280712.146
300731.SZ,20251014,43.16,44.87,40.5,41.01,43.2,-2.19,-5.0694,88529.0,373973.447
300731.SZ,20251013,40.46,43.33,39.9,43.2,44.4,-1.2,-2.7027,84928.64,358730.746
300731.SZ,20251010,43.48,45.97,42.86,44.4,43.65,0.75,1.7182,112687.14,502108.136
300731.SZ,20251009,44.27,45.26,43.53,43.65,44.26,-0.61,-1.3782,75993.0,336158.87
300731.SZ,20250930,45.88,46.2,44.23,44.26,45.7,-1.44,-3.151,88796.57,398435.504
300731.SZ,20250929,44.4,46.71,44.27,45.7,44.26,1.44,3.2535,96017.87,437729.578
300731.SZ,20250926,47.44,49.3,44.1,44.26,48.04,-3.78,-7.8684,150824.27,687689.783
300731.SZ,20250925,46.68,49.5,46.34,48.04,46.6,1.44,3.0901,152333.58,732572.487
300731.SZ,20250924,47.05,48.23,46.07,46.6,49.0,-2.4,-4.898,134308.0,629453.041
300731.SZ,20250923,54.0,54.88,46.61,49.0,51.88,-2.88,-5.5513,178781.0,881285.763
300731.SZ,20250922,47.98,52.8,47.1,51.88,48.06,3.82,7.9484,185455.0,938735.436
300731.SZ,20250919,49.76,49.98,46.55,48.06,49.72,-1.66,-3.3387,171194.0,817661.119
300731.SZ,20250918,45.2,52.0,44.9,49.72,45.45,4.27,9.3949,228804.67,1121769.833
300731.SZ,20250917,45.31,46.85,45.1,45.45,45.92,-0.47,-1.0235,86191.73,394727.177
300731.SZ,20250916,45.86,46.76,45.06,45.92,45.85,0.07,0.1527,82732.2,380480.753
300731.SZ,20250915,46.8,47.44,45.43,45.85,46.88,-1.03,-2.1971,79034.0,363153.178
300731.SZ,20250912,47.78,48.18,46.01,46.88,47.78,-0.9,-1.8836,103623.8,488573.547
300731.SZ,20250911,45.02,48.29,44.31,47.78,45.01,2.77,6.1542,137123.0,639874.598
300731.SZ,20250910,43.56,46.98,43.46,45.01,43.12,1.89,4.3831,136071.0,613295.595
300731.SZ,20250909,44.89,45.6,43.03,43.12,45.39,-2.27,-5.0011,78242.8,344537.311
300731.SZ,20250908,46.5,46.99,45.2,45.39,47.42,-2.03,-4.2809,85144.0,389596.454
300731.SZ,20250905,44.9,47.67,44.67,47.42,44.72,2.7,6.0376,113944.2,526291.288
300731.SZ,20250904,47.3,48.49,43.96,44.72,46.81,-2.09,-4.4649,115341.0,531152.976
300731.SZ,20250903,47.77,48.66,46.47,46.81,48.67,-1.86,-3.8217,141262.69,670527.58
300731.SZ,20250902,55.93,56.01,48.09,48.67,56.42,-7.75,-13.7363,263743.89,1348652.736
300731.SZ,20250901,50.8,58.5,50.69,56.42,50.39,6.03,11.9667,333010.77,1876293.301
300731.SZ,20250829,50.0,50.5,48.66,50.39,49.81,0.58,1.1644,165010.85,818778.962
300731.SZ,20250828,48.08,50.06,46.96,49.81,48.48,1.33,2.7434,173104.09,836052.208
300731.SZ,20250827,48.82,51.47,48.48,48.48,48.91,-0.43,-0.8792,160421.6,803008.605
300731.SZ,20250826,50.91,51.59,48.8,48.91,50.91,-2.0,-3.9285,153838.94,768874.15
300731.SZ,20250825,50.51,51.78,49.6,50.91,49.91,1.0,2.0036,165544.42,837180.875
300731.SZ,20250822,48.0,50.5,47.13,49.91,48.42,1.49,3.0772,161020.2,790758.087
