ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301018.SZ,20250925,74.51,79.99,74.51,75.59,74.24,1.35,1.8184,152498.21,1173863.208
301018.SZ,20250924,75.0,75.99,71.88,74.24,76.42,-2.18,-2.8527,133543.18,982386.086
301018.SZ,20250923,82.0,83.6,74.03,76.42,80.7,-4.28,-5.3036,170566.14,1332509.822
301018.SZ,20250922,75.91,81.64,75.15,80.7,75.81,4.89,6.4503,138686.8,1108739.295
301018.SZ,20250919,80.02,80.12,74.91,75.81,79.19,-3.38,-4.2682,143610.17,1095319.54
301018.SZ,20250918,73.5,81.9,73.16,79.19,73.17,6.02,8.2274,247106.95,1920411.78
301018.SZ,20250917,72.89,75.9,71.39,73.17,73.05,0.12,0.1643,182288.49,1345102.104
301018.SZ,20250916,69.29,74.87,68.3,73.05,69.51,3.54,5.0928,190030.02,1377987.28
301018.SZ,20250915,67.15,70.25,66.14,69.51,68.0,1.51,2.2206,127124.78,872800.777
301018.SZ,20250912,71.5,74.66,67.9,68.0,72.84,-4.84,-6.6447,231467.67,1643413.973
301018.SZ,20250911,71.0,74.63,69.89,72.84,71.35,1.49,2.0883,191229.88,1387329.239
301018.SZ,20250910,67.0,72.5,66.02,71.35,65.31,6.04,9.2482,190682.58,1329875.207
301018.SZ,20250909,66.67,68.1,64.8,65.31,66.9,-1.59,-2.3767,89376.01,592249.533
301018.SZ,20250908,69.01,69.73,65.87,66.9,70.0,-3.1,-4.4286,120033.93,807789.568
301018.SZ,20250905,67.35,70.55,66.06,70.0,66.95,3.05,4.5556,123467.49,851297.759
301018.SZ,20250904,73.5,74.01,65.0,66.95,74.27,-7.32,-9.8559,169142.47,1164912.587
301018.SZ,20250903,72.8,76.52,71.78,74.27,71.95,2.32,3.2245,152423.4,1132300.264
301018.SZ,20250902,78.92,79.69,70.63,71.95,78.93,-6.98,-8.8433,177802.02,1310571.309
301018.SZ,20250901,82.04,83.66,75.56,78.93,79.24,-0.31,-0.3912,183794.83,1437804.705
301018.SZ,20250829,81.0,84.98,78.01,79.24,77.88,1.36,1.7463,249796.21,2022000.151
301018.SZ,20250828,68.06,78.6,67.08,77.88,69.36,8.52,12.2837,238231.32,1733276.591
301018.SZ,20250827,66.87,73.9,66.7,69.36,67.85,1.51,2.2255,193898.08,1377570.355
301018.SZ,20250826,70.6,72.5,67.43,67.85,70.68,-2.83,-4.004,146416.29,1018737.812
301018.SZ,20250825,69.3,74.7,66.9,70.68,69.17,1.51,2.183,195510.89,1380664.464
301018.SZ,20250822,63.0,69.8,63.0,69.17,63.99,5.18,8.095,193248.16,1290461.574
