candidate_id,result,issues,created_at
metric_cashflow_002837_20231231_net_profit_02a23f40,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_c_fr_sale_sg_301f40b4,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_c_inf_fr_operate_a_398070a9,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_n_cashflow_act_d1e5a86d,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20260331_roe_485c77e8,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20260331_roe_dt_b27f27ab,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20260331_grossprofit_margin_eb21b6c4,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20260331_netprofit_margin_b498c73e,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20260331_ocfps_3620a737,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20260331_debt_to_assets_a7412aac,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20251231_roe_7bdbdd90,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20251231_roe_dt_ccc348ea,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20251231_grossprofit_margin_f0bb18f0,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20251231_netprofit_margin_13170531,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20251231_ocfps_fbcdc55f,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20251231_debt_to_assets_8936c94f,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250930_roe_a5aceb75,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250930_roe_dt_7df15519,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250930_grossprofit_margin_716ec039,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250930_netprofit_margin_f46627a5,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250930_ocfps_c18a4fdd,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250930_debt_to_assets_f7666e80,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250630_roe_e15b7f61,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250630_roe_dt_3e895873,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250630_grossprofit_margin_63991613,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250630_netprofit_margin_0ff01b8b,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250630_ocfps_0fa5afcf,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250630_debt_to_assets_6b12abd4,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250331_roe_075adf59,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250331_roe_dt_daecb47a,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250331_grossprofit_margin_da45d905,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250331_netprofit_margin_aea20d18,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250331_ocfps_b8f293bf,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20250331_debt_to_assets_02bf42ca,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20241231_roe_2320ffd3,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20241231_roe_dt_1aaf7103,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20241231_grossprofit_margin_d16906f8,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20241231_netprofit_margin_3a323b38,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20241231_ocfps_e861da79,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20241231_debt_to_assets_e366bf05,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_roe_6c442e68,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_roe_dt_296db28d,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_grossprofit_margin_febdf79f,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_netprofit_margin_692738bf,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_ocfps_66a8439f,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_debt_to_assets_3ab3b55f,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_roe_be4992d2,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_roe_dt_b95887a5,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_grossprofit_margin_95a35174,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_netprofit_margin_542a7093,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_ocfps_3a1c2dec,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240930_debt_to_assets_9eb793c4,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240630_roe_503b1615,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240630_roe_dt_f74aa0a3,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240630_grossprofit_margin_835fec34,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240630_netprofit_margin_f4393689,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240630_ocfps_265339bb,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240630_debt_to_assets_a632b5fa,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240331_roe_9fcd5a1c,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240331_roe_dt_71c89d12,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240331_grossprofit_margin_dbe30cba,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240331_netprofit_margin_2252b6bb,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240331_ocfps_92bcc735,promoted,,2026-07-02T18:31:10Z
metric_fina_indicator_002837_20240331_debt_to_assets_58208777,promoted,,2026-07-02T18:31:10Z
